Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Comprehensive Review on Heart Disease Risk Prediction using Machine Learning and Deep Learning Algorithms,Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10194-4,Vishnu Vardhana Reddy KarnaViswavardhan Reddy KarnaVaraprasad JanamalaV. N. Koteswara Rao DevanaV. Ravi Sankar ChAravinda Babu Tummala,2024,https://link.springer.com/article/10.1007/s11831-024-10194-4,Article
Simulated misuse of large language models and clinical credit systems,npj Digital Medicine,,,,10.1038/s41746-024-01306-2,James T. AnibalHannah B. HuthJasmine GunkelSusan K. GregurickBradford J. Wood,2024,https://link.springer.com/article/10.1038/s41746-024-01306-2,Article
AI-Driven Dermatology: A Study on Skin Disease Identification Through Advanced Medical Imaging,Proceedings of International Conference on AI Systems and Sustainable Technologies,,,,10.1007/978-981-95-0629-3_25,Mayur Prakash DeshmukhRajkumar JagdaleRahul Papalkar,2026,https://link.springer.com/chapter/10.1007/978-981-95-0629-3_25,Conference paper
"The Rise of Intelligent Plastic Surgery: A 10-Year Bibliometric Journey Through AI Applications, Challenges, and Transformative Potential",Aesthetic Plastic Surgery,,,,10.1007/s00266-025-05068-4,Yi LiuKexin DengChengwu ZhangZhigen YuanJianda ZhouCan Liu,2025,https://link.springer.com/article/10.1007/s00266-025-05068-4,Article
On the role of AI in building generative urban intelligence,Artificial Intelligence Review,,,,10.1007/s10462-025-11469-3,João Carlos N. BittencourtThommas K. S. FloresThiago C. JesusDaniel G. Costa,2026,https://link.springer.com/article/10.1007/s10462-025-11469-3,Article
"Model-agnostic explainable artificial intelligence methods in finance: a systematic review, recent developments, limitations, challenges and future directions",Artificial Intelligence Review,,,,10.1007/s10462-025-11215-9,Farhina Sardar KhanSyed Shahid MazharKashif MazharDhoha A. AlSalehAmir Mazhar,2025,https://link.springer.com/article/10.1007/s10462-025-11215-9,Article
Automated segmentation of gastrointestinal organs using the TATIMPA network: a novel robust comparative deep learning approach with integrated multi-pyramidal attention,Network Modeling Analysis in Health Informatics and Bioinformatics,,,,10.1007/s13721-025-00693-0,Davinder Paul SinghTathagat BanerjeeKothapelli Punnam ChandarVijendra Singh TanwarSudhakar TummalaYogendra NarayanLakshmi Prasanna ByrapuneniRam Murat SinghPiyush CharanDebabrata Swain,2025,https://link.springer.com/article/10.1007/s13721-025-00693-0,Article
AI-Assisted Analysis of Hematological Parameters for Early Detection of Malaria,Emerging Technology and Sustainable Solutions,,,,10.1007/978-3-032-11488-4_7,RamanpreetVivek Kumar GargAttuluri Vamsi Kumar,2026,https://link.springer.com/chapter/10.1007/978-3-032-11488-4_7,Conference paper
Review on Biomedical Informatics Through the Versatility of Generative Adversarial Networks,Computational Intelligence in Data Science,,,,10.1007/978-3-031-69986-3_35,Vishvesh MukeshHrithik JoshiSparsh SarafGurwinder Singh,2024,https://link.springer.com/chapter/10.1007/978-3-031-69986-3_35,Conference paper
GenAI: a scientometric analysis of research trends using biblioshiny and VOSviewer,Discover Artificial Intelligence,,,,10.1007/s44163-025-00760-5,Kavita PabrejaReetu VermaAshok Kumar,2025,https://link.springer.com/article/10.1007/s44163-025-00760-5,Article
Integrating AI in Wearable Devices with Thermal Sensors for Breast Cancer Detection: A Review and Conceptual Framework,SN Computer Science,,,,10.1007/s42979-026-04815-x,Raniya KetfiZeina Al MasryNoureddine ZerhouniChristine Devalland,2026,https://link.springer.com/article/10.1007/s42979-026-04815-x,Article
"AI-driven techniques for detection and mitigation of SARS-CoV-2 spread: a review, taxonomy, and trends",Clinical and Experimental Medicine,,,,10.1007/s10238-025-01753-5,Mohsen GhorbianSaied GhorbianMostafa Ghobaei-Arani,2025,https://link.springer.com/article/10.1007/s10238-025-01753-5,Article
Systems Thinking Application to&#xa0;Ethical and&#xa0;Privacy Considerations in&#xa0;AI-Enabled Syndromic Surveillance Systems: Requirements for&#xa0;Under-Resourced Countries in&#xa0;Southern Africa,Pan-African Conference on Artificial Intelligence,,,,10.1007/978-3-031-57639-3_9,Taurai T. ChikotieBruce W. WatsonLiam R. Watson,2024,https://link.springer.com/chapter/10.1007/978-3-031-57639-3_9,Conference paper
Promoting transparency in AI for biomedical and behavioral research,Nature Medicine,,,,10.1038/s41591-025-03680-0,Tina Hernandez-BoussardAaron Y. LeeJulia StoyanovichLaura Biven,2025,https://link.springer.com/article/10.1038/s41591-025-03680-0,Article
A comprehensive guide to digital neurology. An update on current development on digital neurology derived from the Digital Neuro Hub project,Neurological Sciences,,,,10.1007/s10072-025-08428-9,Francesco IodiceLuca CuffaroMichele RomoliEdoardo BianchiniMaddalena SparacoAndrea ArighiChiara CeramiSimone SalemmeGiuseppe RealeIlaria OrologioLuigi LavorgnaAlessandro Padovani,2025,https://link.springer.com/article/10.1007/s10072-025-08428-9,Article
Role of Simulated Lidar Data for Training 3D Deep Learning Models: An Exhaustive Analysis,Journal of the Indian Society of Remote Sensing,,,,10.1007/s12524-024-01905-2,Bharat LohaniParvej KhanVaibhav KumarSiddhartha Gupta,2024,https://link.springer.com/article/10.1007/s12524-024-01905-2,Article
Algorithmic fairness datasets: the story so far,Data Mining and Knowledge Discovery,,,,10.1007/s10618-022-00854-z,Alessandro FabrisStefano MessinaGianmaria SilvelloGian Antonio Susto,2022,https://link.springer.com/article/10.1007/s10618-022-00854-z,Article
GenAI in Public Sector Transformation: Balancing Promise and Prudence,Electronic Government and the Information Systems Perspective,,,,10.1007/978-3-032-02225-7_8,Gideon Mekonnen JonathanShengnan Han,2026,https://link.springer.com/chapter/10.1007/978-3-032-02225-7_8,Conference paper
The Role of AI in Modern Data Engineering: Automating ETL and Beyond,ICT for Global Innovations and Solutions,,,,10.1007/978-3-032-02853-2_47,Janardhan Reddy Kasireddy,2026,https://link.springer.com/chapter/10.1007/978-3-032-02853-2_47,Conference paper
Advancing health equity with artificial intelligence,Journal of Public Health Policy,,,,10.1057/s41271-021-00319-5,Nicole M. ThomasianCarsten EickhoffEli Y. Adashi,2021,https://link.springer.com/article/10.1057/s41271-021-00319-5,Article
"Deep learning applications in the Internet of Things: a review, tools, and future directions",Evolutionary Intelligence,,,,10.1007/s12065-024-00949-0,Parisa RaoufiAtefeh HemmatiAmir Masoud Rahmani,2024,https://link.springer.com/article/10.1007/s12065-024-00949-0,Article
Social determinants of health extraction from clinical notes across institutions using large language models,npj Digital Medicine,,,,10.1038/s41746-025-01645-8,Vipina K. KelothSalih SelekQingyu ChenChristopher GilmanSunyang FuYifang DangXinghan ChenXinyue HuYujia ZhouHuan HeJungwei W. FanKaren WangCynthia BrandtCui TaoHongfang LiuHua Xu,2025,https://link.springer.com/article/10.1038/s41746-025-01645-8,Article
Fostering trust and interpretability in skin cancer classification: a hybrid framework of deep learning and machine learning with explainable AI,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-025-04984-2,Aurora Lithe RoyAbdullah Al MarufRayhanul Islam SonyArghya Pranto RoyNuzhat Noor Islam ProvaZeyar Aung,2025,https://link.springer.com/article/10.1007/s12652-025-04984-2,Article
Toward Resilient AI in Medical Imaging: Handling and Mining Multiple Sources of Data,SN Computer Science,,,,10.1007/s42979-026-04821-z,Michela GravinaAdriano De SimoneGiuseppe PontilloZeena ShawaStefano MarroneRoberta FuscoVincenza GranataAntonella PetrilloJames H. ColeMario SansoneCarlo Sansone,2026,https://link.springer.com/article/10.1007/s42979-026-04821-z,Article
"Strengths, weaknesses, opportunities, and threats of using AI-enabled technology in sleep medicine: a commentary",Journal of Clinical Sleep Medicine,,,,10.5664/jcsm.11132,Anuja BandyopadhyayMargarita OksHaoqi SunBharati PrasadSam RuskFelicia JeffersonRoneil Gopal MalkaniShahab HaghayeghRamesh SachdevaDennis HwangJon AgustssonEmmanuel MignotMichael SummersDaniel FabbriMaryann DeakMatthew AnastasiAndrew SampsonSteve Van HoutAzizi Seixas,2024,https://link.springer.com/article/10.5664/jcsm.11132,Article
Uncovering ethical biases in publicly available fetal ultrasound datasets,npj Digital Medicine,,,,10.1038/s41746-025-01739-3,Maria Chiara FiorentinoSara MocciaMariachiara Di CosmoEmanuele FrontoniBenedetta GiovanolaSimona Tiribelli,2025,https://link.springer.com/article/10.1038/s41746-025-01739-3,Article
Guidance on selecting and evaluating AI auto-segmentation systems in clinical radiotherapy: insights from a six-vendor analysis,Physical and Engineering Sciences in Medicine,,,,10.1007/s13246-024-01513-x,Branimir RusanovMartin A. EbertMahsheed SabetPejman RowshanfarzadNathaniel BarryJake KendrickZaid AlkhatibSuki GillJoshua DassNicholas BucknellJeremy CrokerColin TangRohen WhiteSean BydderMandy TaylorLuke SlamaGodfrey Mukwada,2025,https://link.springer.com/article/10.1007/s13246-024-01513-x,Article
"Navigating the AI Frontier in Toxicology: Trends, Trust, and Transformation",Current Environmental Health Reports,,,,10.1007/s40572-025-00514-6,Thomas LuechtefeldThomas Hartung,2025,https://link.springer.com/article/10.1007/s40572-025-00514-6,Article
Mitigating AI Bias in Postpartum Depression Care with Dual-Stage Framework for Equitable and Personalized Mental Health Support,Proceedings of Data Analytics and Management,,,,10.1007/978-3-032-02831-0_33,Sonia Maria D’SouzaT. S. YazhiniR. ShankarP. Kaviya ShriSahana RaviS. Sumehra Banu,2026,https://link.springer.com/chapter/10.1007/978-3-032-02831-0_33,Conference paper
"Unleashing the power of untuned large language models in recommender systems: a thorough investigation of current approaches, challenges, and future research directions",Knowledge and Information Systems,,,,10.1007/s10115-025-02539-7,Muniraja PasupuletiShashank Mouli Satapathy,2025,https://link.springer.com/article/10.1007/s10115-025-02539-7,Article
Artificial intelligence (AI) cybersecurity dimensions: a comprehensive framework for understanding adversarial and offensive AI,AI and Ethics,,,,10.1007/s43681-024-00427-4,Masike MalatjiAlaa Tolah,2024,https://link.springer.com/article/10.1007/s43681-024-00427-4,Article
"Curriculum check, 2025—equipping radiology residents for AI challenges of tomorrow",Abdominal Radiology,,,,10.1007/s00261-025-05016-5,Vasantha Kumar VenugopalAmit KumarMin On TanGilberto Szarf,2025,https://link.springer.com/article/10.1007/s00261-025-05016-5,Article
"A Critical Analysis of Generative AI: Challenges, Opportunities, and Future Research Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10355-z,Mueen UddinShams Ul ArfeenFuhid AlanaziSaddam HussainTehseen MazharMd. Arafatur Rahman,2025,https://link.springer.com/article/10.1007/s11831-025-10355-z,Article
"Deep learning based computer aided diagnosis of Alzheimer’s disease: a snapshot of last 5 years, gaps, and future directions",Artificial Intelligence Review,,,,10.1007/s10462-023-10644-8,Anish BhandarkarPratham NaikKavita VakkundSrasthi JunjappanavarSavita BakareSantosh Pattar,2024,https://link.springer.com/article/10.1007/s10462-023-10644-8,Article
"Integrating artificial intelligence in industry 4.0: insights, challenges, and future prospects–a literature review",Annals of Operations Research,,,,10.1007/s10479-024-06012-6,Abd El Hedi Gabsi,2024,https://link.springer.com/article/10.1007/s10479-024-06012-6,Article
Convolutional neural network algorithms in diabetic retinopathy: how far does it go?,Artificial Intelligence Review,,,,10.1007/s10462-025-11453-x,Zhanchi HuJie JiJian-Wei LinChi XiaoLing-Ping Cen,2025,https://link.springer.com/article/10.1007/s10462-025-11453-x,Article
Medical Imaging Data Strategies for Catalyzing AI Medical Device Innovation,Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-024-01374-6,Ravi  K. SamalaBrandon  D. GallasGhada ZamzmiKrishna JuluruAmir KhanCatherine BahrRobert OchsDorn CarranzaJason GranstedtEdward MargerrisonAldo Badano,2025,https://link.springer.com/article/10.1007/s10278-024-01374-6,Article
"Generative models of MRI-derived neuroimaging features and associated dataset of 18,000 samples",Scientific Data,,,,10.1038/s41597-024-04157-4,Sai Spandana ChintapalliRongguang WangZhijian YangVasiliki TassopoulouFanyang YuVishnu BashyamGuray ErusPratik ChaudhariHaochang ShouChristos Davatzikos,2024,https://link.springer.com/article/10.1038/s41597-024-04157-4,Article
AI Models and AI Algorithms. The History of Innovation Society to Shape the Future,Trends in Sustainable Computing and Machine Intelligence,,,,10.1007/978-981-96-1452-3_34,Paula CobzaruAlexandru Țugui,2025,https://link.springer.com/chapter/10.1007/978-981-96-1452-3_34,Conference paper
Review of generative AI for lesion localization and automatic report generation,Med-X,,,,10.1007/s44258-026-00076-8,Kaicong SunYulin WangShijie HuangYuxiao LiuHaoyuan ChenZifeng LianMinhui TanXin LinWeilin ZhouZhaoyu QiuXiaoye LiMingyang YuDinggang Shen,2026,https://link.springer.com/article/10.1007/s44258-026-00076-8,Article
"AI and medical imaging technology: evolution, impacts, and economic insights",The Journal of Technology Transfer,,,,10.1007/s10961-024-10100-x,Emefa Surprize Deborah BuakaMd Zubab Ibne Moid,2024,https://link.springer.com/article/10.1007/s10961-024-10100-x,Article
"Designing an ethical and explainable automatic coaching (eCoach) system for community based, persuasive recommendations",Multimedia Tools and Applications,,,,10.1007/s11042-025-21116-2,Ayan ChatterjeeMichael A. RieglerPål Halvorsen,2025,https://link.springer.com/article/10.1007/s11042-025-21116-2,Article
Leveraging XGBoost and explainable AI for accurate prediction of type 2 diabetes,BMC Public Health,,,,10.1186/s12889-025-24953-w,Zahra RafieMoslem Sedaghat TalabBehrooz Ebrahim Zadeh KoorAli GaravandCirruse SalehnasabMustafa Ghaderzadeh,2025,https://link.springer.com/article/10.1186/s12889-025-24953-w,Article
Towards Ethical Foundation Models in Robotics: Challenges and Proposals,Crisis or Redemption with AI and Robotics? The Dawn of a New Era,,,,10.1007/978-3-032-00261-7_2,Ergina Kavallieratou,2026,https://link.springer.com/chapter/10.1007/978-3-032-00261-7_2,Conference paper
A comprehensive review of product recommendation systems using deep learning techniques,Knowledge and Information Systems,,,,10.1007/s10115-025-02667-0,Ritu RajalNishant KumarSanjeev KumarMahfooz Alam,2025,https://link.springer.com/article/10.1007/s10115-025-02667-0,Article
Realistic morphology-preserving generative modelling of the brain,Nature Machine Intelligence,,,,10.1038/s42256-024-00864-0,Petru-Daniel TudosiuWalter H. L. PinayaPedro Ferreira Da CostaJessica DafflonAshay PatelPedro BorgesVirginia FernandezMark S. GrahamRobert J. GrayParashkev NachevSebastien OurselinM. Jorge Cardoso,2024,https://link.springer.com/article/10.1038/s42256-024-00864-0,Article
Multimodal approaches and AI-driven innovations in dementia diagnosis: a systematic review,Discover Artificial Intelligence,,,,10.1007/s44163-025-00358-x,Revati M. WahulSarita AmbadekarDeepesh M. DhanvijayMrinai M. DhanvijayManisha A. DudhediaVarsha GaikwadBhavana KanawadeJ. R. PansareBalaji BodkheS. H. Gawande,2025,https://link.springer.com/article/10.1007/s44163-025-00358-x,Article
Clinically informed semi-supervised learning improves disease annotation and equity from electronic health records: a glaucoma case study,npj Digital Medicine,,,,10.1038/s41746-025-02267-w,Mousa MoradiRishi ShahAsahi FujitaNiloufar BineshfarDaniel M. VuKanza AzizDaniel L. LiebmanSaber Kazeminasab HashemabadMengyu WangTobias ElzeMohammad EslamiNazlee Zebardast,2025,https://link.springer.com/article/10.1038/s41746-025-02267-w,Article
From data to diagnosis: a systematic review on AI-driven approaches to diabetes prediction,Artificial Intelligence Review,,,,10.1007/s10462-025-11485-3,Saleha MasoodMousa Ahmad Al-BashrawiMuhammad Attique KhanYogesh K. Dwivedi,2026,https://link.springer.com/article/10.1007/s10462-025-11485-3,Article
Integration of metaheuristic and machine learning in Cloud-Fog-Edge IoMT applications: a survey,Cluster Computing,,,,10.1007/s10586-025-05442-6,Zahia LalamaLakhdar GoudjilSarra CherbalLemia Louail,2025,https://link.springer.com/article/10.1007/s10586-025-05442-6,Article
Artificial neural networks fighting real neural decline: a systematic review of AI in Alzheimer’s research,Artificial Intelligence Review,,,,10.1007/s10462-025-11484-4,Farzana Sharmin MouTanvir AhmedMd Nazmul HudaAsoke K. Nandi,2026,https://link.springer.com/article/10.1007/s10462-025-11484-4,Article
Deep Learning Approaches in EEG Analysis for Early Detection of Alzheimer’s Disease and Mild Cognitive Impairment: A Mini Systematic Review,Applied Intelligence and Informatics,,,,10.1007/978-3-032-04657-4_5,Tahoura MorovatiHamed VaeziSepehr KarimiMufti MahmudMark Crook-RumseyNadja HeymDavid J. BrownAlex Sumich,2025,https://link.springer.com/chapter/10.1007/978-3-032-04657-4_5,Conference paper
Large language models in radiogenomics: a comprehensive survey of applications from imaging to genetics,The Visual Computer,,,,10.1007/s00371-026-04385-2,Muhammad Nadeem CheemaAnam NazirArif HarmanciAkdes Serin HarmanciYasmeen CheemaSaleha MasoodFahad Ahmed Khokhar,2026,https://link.springer.com/article/10.1007/s00371-026-04385-2,Article
Design and Early Implementation of PRÆVIDA: A Predictive Hospital-Based Technovigilance System,XLVIII Mexican Conference on Biomedical Engineering,,,,10.1007/978-3-032-13729-6_6,González Campos EdgarGuerrero Piña RicardoDel Valle Olaya Karen,2026,https://link.springer.com/chapter/10.1007/978-3-032-13729-6_6,Conference paper
Exploring automated machine learning to develop facial expression recognition systems,Discover Applied Sciences,,,,10.1007/s42452-025-07728-1,Atharv GoelPraneet SaurabhDhananjay BisenRishav DubeyPrathap Somu,2025,https://link.springer.com/article/10.1007/s42452-025-07728-1,Article
"A systematic review of generative AI: importance of industry and startup-centered perspectives, agentic AI, ethical considerations &amp; challenges, and future directions",Artificial Intelligence Review,,,,10.1007/s10462-025-11435-z,Kinjal PatelMilind ShahKarishma M. QureshiMohamed Rafik N. Qureshi,2025,https://link.springer.com/article/10.1007/s10462-025-11435-z,Article
Towards trustworthy AI in cultural heritage,npj Heritage Science,,,,10.1038/s40494-026-02403-z,Marina PaolantiEmanuele FrontoniRoberto Pierdicca,2026,https://www.nature.com/articles/s40494-026-02403-z,Article
"Fairness-preserving framework for machine learning: data bias quantification, model evaluation, and robustness across multiple datasets",AI and Ethics,,,,10.1007/s43681-025-00874-7,Shahadat UddinHaohui LuFarshid Hajati,2025,https://link.springer.com/article/10.1007/s43681-025-00874-7,Article
Large language models for mental health diagnosis and treatment: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11418-0,Mohsen GhorbianMostafa Ghobaei-Arani,2025,https://link.springer.com/article/10.1007/s10462-025-11418-0,Article
Optimized artificial neural networks for breast cancer diagnosis prediction,Discover Applied Sciences,,,,10.1007/s42452-025-07727-2,Surbhi GuptaSaurabh Sharma,2025,https://link.springer.com/article/10.1007/s42452-025-07727-2,Article
Data stewardship and curation practices in AI-based genomics and automated microscopy image analysis for high-throughput screening studies: promoting robust and ethical AI applications,Human Genomics,,,,10.1186/s40246-025-00716-x,Asefa Adimasu TaddeseAssefa Chekole AddisBjorn T. Tam,2025,https://link.springer.com/article/10.1186/s40246-025-00716-x,Article
Health Care for All: Combating Bias in Generative AI for Fair Medical Outcomes,Advances and Challenges of Applying AI/GenAI in Design and Process Science,,,,10.1007/978-3-031-96518-0_2,Khaled ELKarazleValliappan RamanCaslon ChuaPatrick Hang Hui Then,2025,https://link.springer.com/chapter/10.1007/978-3-031-96518-0_2,Conference paper
Methodological Insights into Stress Detection and Prediction: A Focused Review on Women-Specific Approaches,Advances in Emerging Technologies and Computing Innovations,,,,10.1007/978-3-031-92854-3_48,Madhuri Vishnu MalodeSivaram Ponnusamy,2025,https://link.springer.com/chapter/10.1007/978-3-031-92854-3_48,Conference paper
A comprehensive review on financial explainable AI,Artificial Intelligence Review,,,,10.1007/s10462-024-11077-7,Wei Jie YeoWihan Van Der HeeverRui MaoErik CambriaRanjan SatapathyGianmarco Mengaldo,2025,https://link.springer.com/article/10.1007/s10462-024-11077-7,Article
The Ethics of Artificial Intelligence for Intelligence Analysis: a Review of the Key Challenges with Recommendations,Digital Society,,,,10.1007/s44206-023-00036-4,Alexander BlanchardMariarosaria Taddeo,2023,https://link.springer.com/article/10.1007/s44206-023-00036-4,Article
A Comprehensive Review of Multimodal Large Language Models for Medical Imaging and Omics Data,Archives of Computational Methods in Engineering,,,,10.1007/s11831-026-10504-y,Raja Vavekanand,2026,https://link.springer.com/article/10.1007/s11831-026-10504-y,Article
Health equity innovation in precision medicine: data stewardship and agency to expand representation in clinicogenomics,Health Research Policy and Systems,,,,10.1186/s12961-024-01258-9,Patrick J. SilvaVasiliki RahimzadehReid PowellJunaid HusainScott GrossmanAdam HansenJennifer HinkelRafael RosengartenMarcia G. OryKenneth S. Ramos,2024,https://link.springer.com/article/10.1186/s12961-024-01258-9,Article
A decomposition of Fisher’s information to inform sample size for developing or updating fair and precise clinical prediction models — part 2: time-to-event outcomes,Diagnostic and Prognostic Research,,,,10.1186/s41512-025-00204-9,Richard D. RileyGary S. CollinsLucinda ArcherRebecca WhittleAmardeep LeghaLaura KirtonPaula DhimanMohsen SadatsafaviNicola J. AdderleyJoseph AldermanGlen P. MartinJoie Ensor,2025,https://link.springer.com/article/10.1186/s41512-025-00204-9,Article
Early detection of mental health conditions using multimodal generative AI with MI-GBF and fusion-three branch network,International Journal of Information Technology,,,,10.1007/s41870-025-03042-6,Amit Kumar SaxenaRajeshwar PrasadSuman Laha,2025,https://link.springer.com/article/10.1007/s41870-025-03042-6,Article
Enhanced Facial Emotion Recognition and Age Estimation Using Modified Residual Network and Support Vector Machine,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-00966-6,Noha A. El-HagWalid El-ShafaiFathi E. Abd El-SamieNaglaa F. Soliman,2025,https://link.springer.com/article/10.1007/s44196-025-00966-6,Article
Ethical and equitable approaches in AI for vector-borne disease management,AI and Ethics,,,,10.1007/s43681-025-00933-z,Jessica J. WilliamsIoanna AngelidouMaria CholviPerparim KadriajAngeliki F. MartinouNadejda MocreacSong-Quan OngFerhat SadakJiří SkuhrovecEnkelejda VeloBranimir K. Hackenberger,2025,https://link.springer.com/article/10.1007/s43681-025-00933-z,Article
Enhancing workplace productivity with secure AI using federated contrastive learning model for performance optimization,Scientific Reports,,,,10.1038/s41598-025-25153-7,G. MayaA. Suganya,2025,https://link.springer.com/article/10.1038/s41598-025-25153-7,Article
Ethical and Equitable Data Science: Bridging Social Justice and Technical Innovation ADBIS 2025 Doctoral Consortium Lecture,New Trends in Database and Information Systems,,,,10.1007/978-3-032-05727-3_20,Genoveva Vargas-Solar,2026,https://link.springer.com/chapter/10.1007/978-3-032-05727-3_20,Conference paper
"Advanced nanotheranostic approaches for targeted glioblastoma treatment: a synergistic fusion of CRISPR-Cas gene editing, AI-driven tumor profiling, and&#xa0;BBB-modulation",Medical Oncology,,,,10.1007/s12032-025-02944-6,Chethan PatilR. PriyankaB. M. HarshithaS. OshikS. YashwanthB. R. DarshanShradha PatilK. A. PrajwalPrasiddhi NaikPrakash GoudanavarT. Mallamma,2025,https://link.springer.com/article/10.1007/s12032-025-02944-6,Article
AI-based recognition of facial and micro-expressions for the diagnosis of mental and neurological disorders: a systematic review,BMC Psychiatry,,,,10.1186/s12888-025-07739-7,Sara Ghafarfaraji,2025,https://link.springer.com/article/10.1186/s12888-025-07739-7,Article
Applications of machine learning for computer-aided diagnosis of Parkinson’s disease: progress and benchmark case study,Artificial Intelligence Review,,,,10.1007/s10462-025-11347-y,Juntao ZhangYiming ZhangYing WengAkram A. HosseiniBoding WangTom DeningWeinyu FanWeizhong Xiao,2025,https://link.springer.com/article/10.1007/s10462-025-11347-y,Article
A Systematic Survey on Bias and Fairness in Machine Learning,Data Science and Security,,,,10.1007/978-981-96-4883-2_8,Kapil TiwariNirmalya SarkarKritica BishtSamiksha Shukla,2025,https://link.springer.com/chapter/10.1007/978-981-96-4883-2_8,Conference paper
Neural networks for epilepsy detection and prediction with EEG signals: a systematic review,Artificial Intelligence Review,,,,10.1007/s10462-025-11441-1,Youpeng WuLun LuAo XuYinan WangZhiwei LiZhuanyi YangLingli ZengQingjiang Li,2025,https://link.springer.com/article/10.1007/s10462-025-11441-1,Article
"Upskilling the Old, a Quarter Century on: Media Literacies, AI and Older People in Public Policy Discourses",Human Aspects of IT for the Aged Population,,,,10.1007/978-3-031-92712-6_14,Maria SourbatiJustyna Stypińska,2025,https://link.springer.com/chapter/10.1007/978-3-031-92712-6_14,Conference paper
Bibliometric analysis and review of AI-based video generation: research dynamics and application trends (2020–2025),Discover Computing,,,,10.1007/s10791-025-09628-9,Wei XieAnshu HuQing XieJunjie ChenRuoyu WanYuhan Liu,2025,https://link.springer.com/article/10.1007/s10791-025-09628-9,Article
"Face-based machine learning diagnostics: applications, challenges and opportunities",Artificial Intelligence Review,,,,10.1007/s10462-025-11246-2,Jie SongMengqiao HeXin ZhengYuxin ZhangCheng BiJinhua FengJiale DuHang LiBairong Shen,2025,https://link.springer.com/article/10.1007/s10462-025-11246-2,Article
"A comprehensive review of LLM applications for lung cancer diagnosis and treatment: classification, challenges, and future directions",Journal of Big Data,,,,10.1186/s40537-025-01304-5,Mohsen GhorbianMostafa Ghobaei-Arani,2025,https://link.springer.com/article/10.1186/s40537-025-01304-5,Article
A Two-Stage Hybrid Preprocessing Framework for Improving Machine Learning-Based Gestational Diabetes Prediction,Artificial Intelligence Based Smart and Secured Applications,,,,10.1007/978-3-032-17840-4_15,Thejaswi NandyalaK. Baalaji,2026,https://link.springer.com/chapter/10.1007/978-3-032-17840-4_15,Conference paper
Fairness-Adaptive Classification Trees,Methodological and Applied Statistics and Demography IV,,,,10.1007/978-3-031-64447-4_109,Anna GottardSabrina GiordanoVanessa Verrina,2025,https://link.springer.com/chapter/10.1007/978-3-031-64447-4_109,Conference paper
Virtual histopathology methods in medical imaging - a systematic review,BMC Medical Imaging,,,,10.1186/s12880-024-01498-9,Muhammad Talha ImranImran ShafiJamil AhmadMuhammad Fasih Uddin ButtSantos Gracia VillarEduardo Garcia VillenaTahir KhurshaidImran Ashraf,2024,https://link.springer.com/article/10.1186/s12880-024-01498-9,Article
Selected Abstracts from the SIIM 2025 Annual Meeting of the Society for Imaging Informatics in Medicine (SIIM),Journal of Imaging Informatics in Medicine,,,,10.1007/s10278-025-01501-x,,2025,https://link.springer.com/article/10.1007/s10278-025-01501-x,Article
AI-Driven Digital Transformation: Enhancing Competitiveness and Sustainability in the Modern Business Landscape,Competitiveness and Sustainability in the Digitization Era,,,,10.1007/978-3-031-91778-3_12,Vaikunta Pai TB. Sunil KamathVirgil PopescuRamona Birau,2025,https://link.springer.com/chapter/10.1007/978-3-031-91778-3_12,Conference paper
Novel Method for&#xa0;ICG Data Augmentation By Using Noise-Based Approach,Artificial Intelligence and Soft Computing,,,,10.1007/978-3-032-03711-4_18,Paulina BrzęczekIlona KarpielRafał Grycuk,2026,https://link.springer.com/chapter/10.1007/978-3-032-03711-4_18,Conference paper
Eu regulatory ecosystem for ethical AI,AI and Ethics,,,,10.1007/s43681-025-00749-x,Vaios BolgourasApostolis ZarrasChristian LekaIoannis StylianouAristeidis FaraoChristos Xenakis,2025,https://link.springer.com/article/10.1007/s43681-025-00749-x,Article
Investigating Sources and Effects of Bias in AI-Based Systems – Results from an MLR,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-42307-9_2,Caoimhe De BuitlearAilbhe ByrneEric McEvoyAbasse CamaraMurat YilmazAndrew McCarrenPaul M. Clarke,2023,https://link.springer.com/chapter/10.1007/978-3-031-42307-9_2,Conference paper
A mini-approach for retail banking with transparent recommendation system enabled by explainable AI,Discover Artificial Intelligence,,,,10.1007/s44163-025-00817-5,Palash BairagiShrey Arora,2026,https://link.springer.com/article/10.1007/s44163-025-00817-5,Article
Advances in machine learning for keratoconus diagnosis,International Ophthalmology,,,,10.1007/s10792-025-03496-4,Zahra J. MuhsinRami QahwajiIbrahim GhafirMo’ath AlShawabkehMuawyah Al BdourSaif AlRyalatMajid Al-Taee,2025,https://link.springer.com/article/10.1007/s10792-025-03496-4,Article
